,DRUG_ID,DRUG_NAME,DISEASES,PHASE
23331,D0TN1N,NY-ESO-TCR,Myxoid round cell liposarcoma , Phase 1/2
23332,D0TN1N,NY-ESO-TCR,Ovarian cancer , Phase 1/2
23333,D0TN1N,NY-ESO-TCR,Synovial sarcoma , Phase 1/2
23334,D0TN3D,AZD-7140,Rheumatoid arthritis , Discontinued in Phase 1
23335,D0TN3D,AZD-7140,Chronic obstructive pulmonary disease , Discontinued in Phase 1
23336,D0TN3Q,LY3214996,Solid tumour/cancer , Phase 1
23337,D0TN4M,8H9 I-124 mAb,Glioma , Phase 1/2
23338,D0TN5W,HER2-CAR T Cells,Malignant neoplasm , Phase 1
23339,D0TN5W,HER2-CAR T Cells,Metastatic malignant neoplasm , Phase 1
23340,D0TN6K,LSZ102,Breast cancer , Phase 1
23341,D0TN7S,BAY-1075553,Prostate cancer , Phase 1
23342,D0TO0C,FPA150,Solid tumour/cancer , Phase 1
23343,D0TO0F,VLDM-01,Prostate hyperplasia , Investigative
23344,D0TO2R,Fludarabine phosphate,Solid tumour/cancer , Phase 1
23345,D0TP1P,CPP -15,Infantile spasm , Phase 1
23346,D0TP2W,Thymopentin,Immune System disease , Approved
23347,D0TP5H,Esketamine,Depression , Phase 3
23348,D0TP7T,SCY-641,Ocular inflammation , Preclinical
23349,D0TP8R,Iobenguane Sulfate I-131,Pheochromocytoma , Approved
23350,D0TP8T,PMID26651364-Compound-113,Crohn disease , Patented
23351,D0TP8T,PMID26651364-Compound-113,Ulcerative colitis , Patented
23352,D0TP8T,PMID26651364-Compound-113,Urinary tract infection , Patented
23353,D0TP9A,CB-30865,Solid tumour/cancer , Terminated
23354,D0TQ1G,Rimantadine,Influenza A virus infection , Approved
23355,D0TQ4Y,PF-06648671,Alzheimer disease , Phase 1
23356,D0TR0Z,MOGUISTEINE,Cough , Discontinued in Preregistration
23357,D0TR3Y,Ovapuldencel-T,Ovarian cancer , Phase 2
23358,D0TR3Y,Ovapuldencel-T,Peritoneal cavity cancer , Phase 2
23359,D0TR4Y,LN-145,Cervical cancer , Phase 2
23360,D0TR4Y,LN-145,Squamous cell carcinoma , Phase 2
23361,D0TR4Z,Zindoxifene,Breast cancer , Terminated
23362,D0TR5X,Fluoxetine,Depression , Approved
23363,D0TS0R,CD19xCD3 DART,Solid tumour/cancer , Investigative
23364,D0TS1Z,Floxuridine,Solid tumour/cancer , Approved
23365,D0TS1Z,Floxuridine,Colorectal cancer , Approved
23366,D0TS2B,CAR-T cells targeting CD117,Acute myeloid leukaemia , Preclinical
23367,D0TS3S,Heterocyclic-substituted 3-alkyl azetidine derivative 3,Obesity , Patented
23368,D0TS8E,ADX71149,Epilepsy , Phase 1
23369,D0TS8E,ADX71149,Anxiety disorder , Discontinued in Phase 2
23370,D0TS8E,ADX71149,Psychiatric disorder , Discontinued in Phase 2
23371,D0TT0B,"1,2,4-triazole derivative 2",Obesity , Patented
23372,D0TT4H,E6005,Atopic dermatitis , Phase 2
23373,D0TT5I,FAS-20013,Mycobacterium infection , Investigative
23374,D0TT5K,MDL-27531,Epilepsy , Phase 1
23375,D0TT6L,SF0166,Diabetic macular edema , Phase 1/2
23376,D0TU0F,LAP-001,Lipid metabolism disorder , Investigative
23377,D0TU1E,EB-101,Dystrophic epidermolysis bullosa , Phase 1/2
23378,D0TU1E,EB-101,Alzheimer disease , Investigative
23379,D0TU7B,PQR309,Squamous head and neck cell carcinom , Phase 2
23380,D0TU7B,PQR309,Pain , Phase 1
23381,D0TU7G,SUVN-1004028,Neurodegenerative disorder , Investigative
23382,D0TU7V,MB-12066,Obesity , Phase 2
23383,D0TU9W,BIIB054,Parkinson disease , Phase 2
23384,D0TV0C,Pasireotide,Cushing disease , Approved
23385,D0TV0E,JNJ-64457107,Solid tumour/cancer , Phase 1
23386,D0TV4N,T-226296,Obesity , Preclinical
23387,D0TV4N,T-226296,Atrial fibrillation , Investigative
23388,D0TV6H,HuM-195-Ac-225,Acute myeloid leukaemia , Phase 1/2
23389,D0TV6H,HuM-195-Ac-225,Acute myelogenous leukaemia , Phase 1/2
23390,D0TV6I,Safinamide,Parkinson disease , Approved
23391,D0TV6I,Safinamide,Idiopathic parkinson disease , Phase 3
23392,D0TV9K,Propiverine,Urinary incontinence , Approved
23393,D0TW1Q,DP-3005,Angina pectoris , Investigative
23394,D0TW2J,CMX-020,Neuropathic pain , Phase 2
23395,D0TW3L,CD20Bi aATC,Non-hodgkin lymphoma , Phase 1
23396,D0TX5P,ITX-5061,Human immunodeficiency virus-1 infection , Phase 1
23397,D0TX7T,Sulglycotide,Active duodenal ulcer , Approved
23398,D0TX8Z,FLOSATIDIL,Angina pectoris , Discontinued in Phase 2
23399,D0TY0G,Mumps skin test antigen,Allergy , Approved
23400,D0TY0P,G-573,Solid tumour/cancer , Investigative
23401,D0TY1Q,Mannoside derivative 9,Crohn disease , Patented
23402,D0TY1Q,Mannoside derivative 9,Ulcerative colitis , Patented
23403,D0TY1Q,Mannoside derivative 9,Urinary tract infection , Patented
23404,D0TY1U,TDI-0103,Motor neurone disease , Investigative
23405,D0TY1Y,PfSPZ-Cvac,Malaria , Phase 2
23406,D0TY3L,KX-01,Actinic keratosis , Phase 3
23407,D0TY5K,NWP-09,Attention deficit hyperactivity disorder , Phase 3
23408,D0TY5N,Cotinine,Insecticide , Approved
23409,D0TY6U,BPX-601,Gastric adenocarcinoma , Phase 1/2
23410,D0TY6U,BPX-601,Pancreatic cancer , Phase 1/2
23411,D0TY6U,BPX-601,Prostate cancer , Phase 1/2
23412,D0TY6Y,Avicine,Colorectal cancer , Discontinued in Phase 1
23413,D0TY8B,PGGA-PTX,Solid tumour/cancer , Investigative
23414,D0TZ1C,Curemisinin,Malaria , Approved
23415,D0TZ1G,Procaine,Anaesthesia , Approved
23416,D0TZ2W,PMID25666693-Compound-38,Osteoarthritis pain , Patented
23417,D0TZ2W,PMID25666693-Compound-38,Cancer related pain , Patented
23418,D0TZ2W,PMID25666693-Compound-38,Neuropathic pain , Patented
23419,D0TZ2W,PMID25666693-Compound-38,Inflammatory pain , Patented
23420,D0TZ6M,Phenazopyridine,Middle East Respiratory Syndrome (MERS) , Investigative
23421,D0TZ8J,Clade A HIV vaccine,Human immunodeficiency virus infection , Phase 1
23422,D0U0AM,VGV-1,Human immunodeficiency virus infection , Discontinued in Phase 3
23423,D0U0AU,AZD-9819,Chronic obstructive pulmonary disease , Phase 1
23424,D0U0AY,AV-101,Neuropathic pain , Phase 2
23425,D0U0AY,AV-101,Major depressive disorder , Phase 2
23426,D0U0BA,AERAS-407 rBCG,Mycobacterium infection , Phase 1
23427,D0U0BN,JCAR014,Non-hodgkin lymphoma , Phase 1/2
23428,D0U0BN,JCAR014,B-cell lymphoma , Phase 1
23429,D0U0BN,JCAR014,Mediastinal large B-cell lymphoma , Phase 1
23430,D0U0BN,JCAR014,Diffuse large B-cell lymphoma , Phase 1
23431,D0U0BN,JCAR014,B-cell non-hodgkin lymphoma , Phase 1
23432,D0U0BP,DFP 13318,Solid tumour/cancer , Phase 1
23433,D0U0BU,TOK-001,Prostate cancer , Phase 2
23434,D0U0CF,CNTX-0290,Chronic pain , Phase 1
23435,D0U0DD,Phleum pratense-containing vaccine,Allergic conjunctivitis , Phase 2
23436,D0U0EC,TRemelimumab + MEDI0562,Solid tumour/cancer , Phase 1
23437,D0U0FH,Amitivir,Virus infection , Terminated
23438,D0U0GC,ZP-012,Urinary tract infection , Investigative
23439,D0U0GZ,Filibuvir,Hepatitis C virus infection , Phase 2
23440,D0U0HX,Molgramostim,Autoimmune pulmonary alveolar proteinosis , Phase 3
23441,D0U0HX,Molgramostim,Wound healing , Phase 1
23442,D0U0IS,NP-02,Heart disease , Investigative
23443,D0U0JL,Neo-1507,Osteoarthritis , Investigative
23444,D0U0KR,CF102,Hepatocellular carcinoma , Phase 2
23445,D0U0KR,CF102,Hepatitis C virus infection , Phase 1/2
23446,D0U0KW,Ramelteon,Insomnia , Approved
23447,D0U0KW,Ramelteon,Circadian rhythm sleep disorder , Terminated
23448,D0U0NS,Myeloma cancer vaccine,Multiple myeloma , Phase 2
23449,D0U0OF,TPI-273,Solid tumour/cancer , Terminated
23450,D0U0OT,Melevodopa,Parkinson disease , Approved
23451,D0U0PV,M-40401,Cerebrovascular ischaemia , Terminated
23452,D0U0QC,ABBV-2737,Cystic fibrosis , Phase 1
23453,D0U0QI,GYKI-16084,Prostate disease , Discontinued in Phase 2
23454,D0U0RJ,Leukocyte interleukin,Human immunodeficiency virus infection , Phase 1
23455,D0U0RJ,Leukocyte interleukin,Head and neck cancer , Phase 1
23456,D0U0RZ,Phentermine,Obesity , Approved
23457,D0U0SD,RG-125,Non-alcoholic fatty liver disease , Phase 1
23458,D0U0SK,GZ402668,Multiple sclerosis , Phase 1
23459,D0U0TD,Gedocarnil,Anxiety disorder , Discontinued in Phase 1
23460,D0U0VU,SILODOSIN,Benign prostatic hyperplasia , Approved
23461,D0U0VY,CNTO-2476,Retinitis pigmentosa , Phase 1/2
23462,D0U0XD,Estradiol Cypionate,Hormone replacement therapy , Approved
23463,D0U0XL,NN-7415,Factor IX deficiency , Phase 1
23464,D0U0YR,SNAP-7941,Depression , Preclinical
23465,D0U0YR,SNAP-7941,Anxiety disorder , Preclinical
23466,D0U0YR,SNAP-7941,Obesity , Preclinical
23467,D0U1BR,Herpes simplex DNA vaccine,Herpes simplex virus infection , Phase 1
23468,D0U1BU,HPP-851,Metabolic disorder , Preclinical
23469,D0U1BW,SIVIG,Autoimmune diabetes , Investigative
23470,D0U1CL,PGX-200097,Schizophrenia , Preclinical
23471,D0U1DD,KiroVAX-003,Solid tumour/cancer , Phase 1/2
23472,D0U1DU,NVX-207,Solid tumour/cancer , Investigative
23473,D0U1FR,PBI-1393,Solid tumour/cancer , Preclinical
23474,D0U1FZ,EUK-207,Neurodegenerative disorder , Terminated
23475,D0U1GM,NexVas VI,Vasculitis , Investigative
23476,D0U1GP,CD56 CAR T cells,Multiple myeloma , Phase 1/2
23477,D0U1HE,PEGylated PYY-3-36,Metabolic disorder , Investigative
23478,D0U1HN,AM-211,Asthma , Phase 1
23479,D0U1HP,Org-24461,Schizophrenia , Preclinical
23480,D0U1HR,Donor-derived CD19/22 bispecific CAR-T cells,leukaemia , Phase 1
23481,D0U1HX,DIMS-0150,Ulcerative colitis , Phase 3
23482,D0U1IR,AP-5346,Head and neck cancer , Discontinued in Phase 2
23483,D0U1KE,FF-10502-01,Lymphoma , Phase 1
23484,D0U1KE,FF-10502-01,Solid tumour/cancer , Phase 1
23485,D0U1LQ,Rotavirus vaccine,Pediatric cancer , Phase 3
23486,D0U1LQ,Rotavirus vaccine,Type-2 diabetes , Phase 1
23487,D0U1MO,CERE-120,Parkinson disease , Phase 2
23488,D0U1NA,Fadolmidine,Neuropathic pain , Phase 2
23489,D0U1NA,Fadolmidine,Pain , Discontinued in Phase 2
23490,D0U1OE,Thioridazine,Schizophrenia , Approved
23491,D0U1OM,Bromfenac,Postoperative inflammation , Approved
23492,D0U1OM,Bromfenac,Inflammation , Withdrawn from market
23493,D0U1OO,ARM210,Duchenne dystrophy , Phase 1
23494,D0U1QE,VR736,Influenza virus infection , Phase 2
23495,D0U1SA,KTP-001,Intervertebral disc displacement , Phase 1/2
23496,D0U1SI,Bimoclomol,Diabetic complication , Discontinued in Phase 2
23497,D0U1TA,RHuEPO,Solid tumour/cancer , Approved
23498,D0U1TJ,NKTR-194,Pain , Investigative
23499,D0U1UN,DWP-10292,Retinitis pigmentosa , Phase 1
23500,D0U1US,18F-FEDAA-1106,Alzheimer disease , Phase 1
23501,D0U1VR,AFX-9154,leukaemia , Phase 1/2
23502,D0U1VZ,Flurpiridaz F 18,Myocardial disease , Phase 3
23503,D0U1WP,MV-CEA,Glioblastoma multiforme , Phase 1
23504,D0U1WU,ETBX-011 cancer vaccine,Solid tumour/cancer , Phase 1/2
23505,D0U1WU,ETBX-011 cancer vaccine,Colorectal cancer , Phase 1/2
23506,D0U1WU,ETBX-011 cancer vaccine,Pancreatic cancer , Phase 1/2
23507,D0U1WU,ETBX-011 cancer vaccine,Metastatic cancer , Phase 1
23508,D0U1XG,Long-acting hGH conjugate,Growth hormone deficiency , Phase 2
23509,D0U1ZD,Ioversol,Cardiovascular disease , Approved
23510,D0U1ZV,NERATINIB MALEATE,HER2/NEU overexpressing breast cancer , Approved
23511,D0U2BH,Epigallocatechin gallate,Hepatic fibrosis , Phase 3
23512,D0U2CB,Ibuproxam,Respiratory disease , Withdrawn from market
23513,D0U2CE,RM-131,Gastroparesis , Phase 3
23514,D0U2CE,RM-131,Cachexia , Phase 2
23515,D0U2CE,RM-131,Diabetic gastroparesis , Phase 2
23516,D0U2CT,EMITEFUR,Solid tumour/cancer , Discontinued in Preregistration
23517,D0U2CV,Trapidil,Coronary artery disease , Phase 4
23518,D0U2CV,Trapidil,Acute coronary syndrome , Phase 4
23519,D0U2CV,Trapidil,Multiple myeloma , Investigative
23520,D0U2DA,BNC-210,Anxiety disorder , Phase 2
23521,D0U2DH,CC-1088,Crohn disease , Phase 2
23522,D0U2DO,FP-1039,Endometrial cancer , Phase 2
23523,D0U2DO,FP-1039,Solid tumour/cancer , Phase 1b
23524,D0U2DY,Recombinant TSH superagonists,Thyroid cancer , Investigative
23525,D0U2EF,ACN-1052,Glaucoma/ocular hypertension , Investigative
23526,D0U2FD,HIV-PV,Human immunodeficiency virus infection , Investigative
23527,D0U2FN,Romazarit,Rheumatoid arthritis , Preclinical
23528,D0U2GT,SA3C,Solid tumour/cancer , Investigative
23529,D0U2JP,Sitagliptin,Type-2 diabetes , Approved
23530,D0U2JP,Sitagliptin,Peripheral arterial disease , Phase 1/2
23531,D0U2KX,Aloradine,Glioma , Phase 2
23532,D0U2MP,BP-Inter-014,Hepatitis B virus infection , Investigative
23533,D0U2OO,Buspirone,Anxiety disorder , Approved
23534,D0U2OQ,X-071-NAB,Arthritis , Investigative
23535,D0U2OS,GNE-652,Multiple myeloma , Investigative
23536,D0U2PS,HER2p63-71 peptide vaccine,Solid tumour/cancer , Phase 1
23537,D0U2PU,Anti-BCMA CAR T cells,Multiple myeloma , Phase 1
23538,D0U2PY,UTI vaccine,Urinary tract infection , Phase 1
23539,D0U2QI,METH-mab,Methamphetamine dependence , Phase 1
23540,D0U2QX,4-ethynyl-2-fluoro-deoxyadenosine,Human immunodeficiency virus-1 infection , Investigative
23541,D0U2RR,NLP-83,Solid tumour/cancer , Investigative
23542,D0U2TQ,CGP-60474,Solid tumour/cancer , Terminated
23543,D0U2TZ,NYX-2925,Peripheral neuropathy , Phase 2
23544,D0U2TZ,NYX-2925,Fibromyalgia , Phase 2
23545,D0U2WO,ONO-2231,Cerebrovascular ischaemia , Discontinued in Phase 1
23546,D0U2XB,PGC GLP-1,Diabetic complication , Investigative
23547,D0U2XU,XEN-2174,Cancer related pain , Phase 2
23548,D0U3AL,Interleukin-12 gene therapy,Merkel cell carcinoma , Phase 2
23549,D0U3AL,Interleukin-12 gene therapy,Melanoma , Phase 2
23550,D0U3AL,Interleukin-12 gene therapy,Cutaneous T-cell lymphoma , Phase 2
23551,D0U3CR,Guanadrel Sulfate,Hypertension , Approved
23552,D0U3DE,NT-FV-007,Motor neurone disease , Investigative
23553,D0U3DP,VS-5584,Solid tumour/cancer , Phase 1
23554,D0U3DP,VS-5584,Malignant mesothelioma , Phase 1
23555,D0U3DU,Dexmedetomidine,Irritability , Approved
23556,D0U3DX,Mannose phosphate,Lesion , Discontinued in Phase 2
23557,D0U3EA,BVT 933,Obesity , Investigative
23558,D0U3EC,Benazepril,Hypertension , Approved
23559,D0U3ED,E-2007,Diabetic neuropathy , Approved
23560,D0U3ED,E-2007,Parkinson disease , Discontinued in Phase 3
23561,D0U3EP,Resveratrol,Giant cell arteritis , Phase 3
23562,D0U3EP,Resveratrol,Rheumatoid arthritis , Phase 3
23563,D0U3EP,Resveratrol,Systemic sclerosis , Phase 3
23564,D0U3EP,Resveratrol,Colorectal cancer , Discontinued in Phase 2
23565,D0U3FP,Her-2/neu vaccine,Ovarian cancer , Phase 1/2
23566,D0U3GA,SPC5001,Hyperlipidaemia , Phase 1
23567,D0U3GB,LIQ-001,Influenza virus infection , Phase 2
23568,D0U3GL,Oxandrolone,Alcoholic hepatitis , Approved
23569,D0U3GT,MK-8342B,Contraception , Phase 2
23570,D0U3GW,PXVX0047,Adenovirus infection , Phase 1
23571,D0U3IG,Cetrimide,Skin infection , Approved
23572,D0U3IS,Benzonaphthyridine derivative 1,Solid tumour/cancer , Patented
23573,D0U3IS,Benzonaphthyridine derivative 1,Metastatic cancer , Patented
23574,D0U3JZ,PMX-30024,Mycobacterium infection , Investigative
23575,D0U3KP,HT-100,Duchenne dystrophy , Phase 2
23576,D0U3LK,Metformin glycinate,Type-2 diabetes , Phase 2/3
23577,D0U3LS,Triazolam,Insomnia , Approved
23578,D0U3MQ,UX001 sialic acid,Hereditary inclusion body myositis , Phase 2
23579,D0U3OY,Rovelizumab,Cerebrovascular disease , Terminated
23580,D0U3QK,OMS824,Huntington disease , Phase 2
23581,D0U3RD,"Pyrido[3,2-d]pyrimidine derivative 3",Pruritus , Patented
23582,D0U3RD,"Pyrido[3,2-d]pyrimidine derivative 3",Solid tumour/cancer , Patented
23583,D0U3RD,"Pyrido[3,2-d]pyrimidine derivative 3",Chronic pain , Patented
23584,D0U3RD,"Pyrido[3,2-d]pyrimidine derivative 3",Neuropathic pain , Patented
23585,D0U3RD,"Pyrido[3,2-d]pyrimidine derivative 3",Thymic cancer , Patented
23586,D0U3RM,AL-508,Central nervous system disease , Investigative
23587,D0U3RU,MK-1107,Human immunodeficiency virus infection , Investigative
23588,D0U3RV,Motexafin lutetium,Artery stenosis , Phase 3
23589,D0U3SK,Tiapamil,Cardiovascular disease , Investigative
23590,D0U3SY,Alectinib,Lung cancer , Approved
23591,D0U3SY,Alectinib,Non-small-cell lung cancer , Phase 2
23592,D0U3TE,J-555Y,Atopic dermatitis , Investigative
23593,D0U3UJ,CHT-25,Hodgkin lymphoma , Phase 1
23594,D0U3VH,STEBVax,Endotoxic shock , Phase 1
23595,D0U3VH,STEBVax,Toxic shock syndrome , Phase 1
23596,D0U3VU,Aminoazetidine derivative 9,Obesity , Patented
23597,D0U3XI,FT-061,Fibrosis , Investigative
23598,D0U3XL,JNJ-26483327,Solid tumour/cancer , Phase 1
23599,D0U3YB,Masoprocol,Prostate cancer , Approved
23600,D0U3YU,Ademetionine,Hepatic fibrosis , Approved
23601,D0U3YU,Ademetionine,Cerebrovascular ischaemia , Phase 4
23602,D0U3YW,ADC-9971,Allergic rhinitis , Investigative
23603,D0U3YY,"Pyrano[2,3-b]pyridine derivative 2",Obesity , Patented
23604,D0U4CE,Bosentan,Pulmonary arterial hypertension , Approved
23605,D0U4EU,SB-743921,Solid tumour/cancer , Phase 2
23606,D0U4FF,BMS-599626,Solid tumour/cancer , Phase 2
23607,D0U4FW,DU 125530,Mood disorder , Discontinued in Phase 2
23608,D0U4GL,GLWL-01,Type-2 diabetes , Phase 1
23609,D0U4HZ,Bilive,Hepatitis B virus infection , Approved
23610,D0U4IG,AVP-4,Solid tumour/cancer , Investigative
23611,D0U4IV,Elfamycin,Enterocolitis , Investigative
23612,D0U4JX,Padoporfin photodynamic therapy,Prostate cancer , Phase 1/2
23613,D0U4JY,Protease activated prodrug,Solid tumour/cancer , Investigative
23614,D0U4KJ,MTV273,Multiple myeloma , Phase 1
23615,D0U4LP,Curcumin-ND,Mantle cell lymphoma , Investigative
23616,D0U4PG,AEOL-11207,Asthma , Investigative
23617,D0U4QQ,TNFcept,Rheumatoid arthritis , Investigative
23618,D0U4QZ,EU-517,Solid tumour/cancer , Investigative
23619,D0U4SM,NASVAC,Hepatitis B virus infection , Phase 3
23620,D0U4SS,CD-160130,Chronic lymphocytic leukaemia , Investigative
23621,D0U4UQ,Hydrochlorothiazide,Hypertension , Approved
23622,D0U4VT,Trimethadione,Pancreatic cancer , Approved
23623,D0U4VT,Trimethadione,Epilepsy , Approved
23624,D0U4WB,TLC-C-53,Respiratory distress syndrome , Terminated
23625,D0U4WF,HCG contraceptive vaccine,Contraception , Terminated
23626,D0U4WG,SLV-307,Parkinson disease , Terminated
23627,D0U4WY,BILD-1357,Herpes simplex virus infection , Terminated
23628,D0U4XC,Carticel,Articular cartilage disorder , Approved
23629,D0U4XJ,Luliconazole,Tinea pedis , Approved
23630,D0U4XJ,Luliconazole,Dry eye disease , Phase 2/3
23631,D0U4YD,YKP10461,Parkinson disease , Phase 1
23632,D0U4YG,Penicillin G Benzathine,Bacterial infection , Approved
23633,D0U5AN,ImmuFact IMP321,Melanoma , Phase 1/2
23634,D0U5AQ,ATLCAR.CD30.CCR4 cells,Immune System disease , Phase 1
23635,D0U5AQ,ATLCAR.CD30.CCR4 cells,Immunoproliferative disorder , Phase 1
23636,D0U5AQ,ATLCAR.CD30.CCR4 cells,Lymphatic disease , Phase 1
23637,D0U5AQ,ATLCAR.CD30.CCR4 cells,Lymphoma , Phase 1
23638,D0U5AQ,ATLCAR.CD30.CCR4 cells,Neoplasm , Phase 1
23639,D0U5BF,ALPHA-FMH,Pruritus , Phase 1
23640,D0U5BV,AKT-10082,Vibrio cholerae infection , Investigative
23641,D0U5CE,Capsaicin,Neuropathic pain , Approved
23642,D0U5CQ,PMID25666693-Compound-54,Osteoarthritis pain , Patented
23643,D0U5CQ,PMID25666693-Compound-54,Cancer related pain , Patented
23644,D0U5CQ,PMID25666693-Compound-54,Neuropathic pain , Patented
23645,D0U5CQ,PMID25666693-Compound-54,Inflammatory pain , Patented
23646,D0U5CS,LY354740,Anxiety disorder , Discontinued in Phase 2
23647,D0U5EU,SC-45662,Asthma , Discontinued in Phase 2
23648,D0U5EY,Org-37684,Anxiety disorder , Terminated
23649,D0U5FF,Leuprolide,Prostate cancer , Approved
23650,D0U5FS,Fluspirilene,Schizophrenia , Approved
23651,D0U5GB,Lopinavir,Human immunodeficiency virus infection , Approved
23652,D0U5GI,RP-66784,Angina pectoris , Terminated
23653,D0U5GU,PMID26815044-Compound-125,Albinism , Patented
23654,D0U5GU,PMID26815044-Compound-125,Ephelides , Patented
23655,D0U5GU,PMID26815044-Compound-125,Menkes disease , Patented
23656,D0U5GU,PMID26815044-Compound-125,Senile lentigines , Patented
23657,D0U5GU,PMID26815044-Compound-125,Melasma , Patented
23658,D0U5GX,CXB-724,Anxiety disorder , Investigative
23659,D0U5GZ,Zadaxin/transarterial chemoembolization(TACE) (cisplatin),Hepatitis virus infection , Phase 3
23660,D0U5HB,Thiazole carboxamide derivative 5,Solid tumour/cancer , Patented
23661,D0U5HB,Thiazole carboxamide derivative 5,Metastatic cancer , Patented
23662,D0U5HU,Cisplatin,Solid tumour/cancer , Approved
23663,D0U5HU,Cisplatin,Osteosarcoma , Phase 2
23664,D0U5HY,Anti-TAG-72 antibody,Solid tumour/cancer , Investigative
23665,D0U5JJ,KT-105,Solid tumour/cancer , Investigative
23666,D0U5JP,MEM-3454,Schizophrenia , Phase 2
23667,D0U5JR,H7N3 avian influenza virus live attenuated vaccine,Influenza virus infection , Phase 1
23668,D0U5NO,CAR-CD19 T cell,B-cell lymphoma , Clinical trial
23669,D0U5NO,CAR-CD19 T cell,leukaemia , Clinical trial
23670,D0U5NU,GLENVASTATIN,Hyperlipidaemia , Discontinued in Phase 2
23671,D0U5NW,BVT-24834,Obesity , Terminated
23672,D0U5NY,JTT-553,Obesity , Discontinued in Phase 1
23673,D0U5OB,Charybdotoxin,Scorpion envenoming syndrome , Approved
23674,D0U5OE,Loxapine,Schizophrenia , Approved
23675,D0U5ON,PMID25666693-Compound-125,Osteoarthritis pain , Patented
23676,D0U5ON,PMID25666693-Compound-125,Cancer related pain , Patented
23677,D0U5ON,PMID25666693-Compound-125,Neuropathic pain , Patented
23678,D0U5ON,PMID25666693-Compound-125,Inflammatory pain , Patented
23679,D0U5OU,Naproxcinod,Inflammation , Phase 3
23680,D0U5PR,Seridopidine,Neurological disorder , Terminated
23681,D0U5PT,GS-9901,Haematological malignancy , Phase 1
23682,D0U5QK,Acetaminophen,Pain , Approved
23683,D0U5RT,Primidone,Epilepsy , Approved
23684,D0U5SC,CT-102,Diabetic foot ulcer , Approved
23685,D0U5SI,Procainamide,Ventricular arrhythmias , Approved
23686,D0U5SU,FM-301,Psoriasis vulgaris , Investigative
23687,D0U5UC,KD025,Rheumatoid arthritis , Phase 2
23688,D0U5UC,KD025,Psoriasis vulgaris , Phase 2
23689,D0U5UC,KD025,Psoriatic arthritis , Phase 1
23690,D0U5UC,KD025,Scleroderma , Phase 1
23691,D0U5UC,KD025,Systemic lupus erythematosus , Phase 1
23692,D0U5VM,HBN-1,Neurological disorder , Investigative
23693,D0U5VX,Human AM/AMBP-1,Ischemia , Investigative
23694,D0U5VZ,Bepotastine,Allergic rhinitis , Approved
23695,D0U5WB,Alpha-type-1 polarized dendritic cells,Chronic lymphocytic leukaemia , Investigative
23696,D0U5XI,PMID28270021-Compound-WO2015042088Example11,Pruritus , Patented
23697,D0U5XI,PMID28270021-Compound-WO2015042088Example11,Solid tumour/cancer , Patented
23698,D0U5XI,PMID28270021-Compound-WO2015042088Example11,Chronic pain , Patented
23699,D0U5XI,PMID28270021-Compound-WO2015042088Example11,Neuropathic pain , Patented
23700,D0U5XI,PMID28270021-Compound-WO2015042088Example11,Thymic cancer , Patented
23701,D0U5YJ,14F7 humanized mab,Solid tumour/cancer , Investigative
23702,D0U5YM,ONO-6950,Asthma , Phase 2
23703,D0U5YW,Travoprost punctal plug,Glaucoma/ocular hypertension , Phase 2
23704,D0U5ZV,AT-3375,Parkinson disease , Investigative
23705,D0U6AI,I-A09,Mycobacterium infection , Investigative
23706,D0U6AL,BI-L-357,Asthma , Terminated
23707,D0U6BB,L-703014,Thrombosis , Terminated
23708,D0U6BJ,Desoxyribonuclease,Female genital tract inflammation , Approved
23709,D0U6BQ,Anti-VEGFR2 CD8 cell therapy,Solid tumour/cancer , Phase 1/2
23710,D0U6CL,CC-10015,Systemic sclerosis , Phase 1
23711,D0U6DC,PF-4967544,Renal failure , Discontinued in Phase 1
23712,D0U6DZ,L-erythro-3-hydroxyaspartate,Neurodegenerative disorder , Investigative
23713,D0U6EX,Quadracel,leukaemia , Approved
23714,D0U6FT,GSI-136,Alzheimer disease , Phase 1
23715,D0U6KH,Figitumumab,Malignant adrenal gland cancer , Discontinued in Phase 1
23716,D0U6LM,Midazolam,Irritability , Approved
23717,D0U6LM,Midazolam,Epilepsy , Phase 3
23718,D0U6ML,CKD602,Solid tumour/cancer , Phase 2
23719,D0U6NC,PJ-016,Psychotic disorder , Investigative
23720,D0U6NV,ISIS-1082,Virus infection , Terminated
23721,D0U6PA,"Pyrazolo[1,5-a]pyrimidine derivative 9",Obesity , Patented
23722,D0U6PJ,PC-SOD,Interstitial lung disease , Phase 2
23723,D0U6PK,ACY-001,Coronary ischemia , Phase 1
23724,D0U6PZ,VS1-011,Solid tumour/cancer , Investigative
23725,D0U6QN,ACH-3102,Hepatitis C virus infection , Phase 2
23726,D0U6RP,AL-072,Legionella infection , Terminated
23727,D0U6TV,UltraGITRL,Solid tumour/cancer , Investigative
23728,D0U6UK,Tabalumab,Multiple myeloma , Phase 3
23729,D0U6WC,RM-4864,Hepatitis C virus infection , Investigative
23730,D0U6WQ,PRALNACASAN,Rheumatoid arthritis , Phase 2
23731,D0U6XE,PAN-90806,Solid tumour/cancer , Phase 1
23732,D0U6XE,PAN-90806,Diabetic retinopathy , Phase 1
23733,D0U7AH,NurOwn,Amyotrophic lateral sclerosis , Phase 3
23734,D0U7BW,Carbachol,Glaucoma/ocular hypertension , Approved
23735,D0U7CO,CRE-319M2,Ischemic heart disease , Discontinued in Phase 1
